"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q242","","366954","بليز","বেলিজ","Belize","Belize","Belice","Belize","Μπελίζε","बेलीज़","Belize","Belize","Belize","ベリーズ","벨리즈","Belize","Belize","Belize","Белиз","Belize","Belize","Belize","伯利兹"
"Q1162","","1382611","أروناجل برديش","অরুণাচল প্রদেশ","Arunachal Pradesh","Arunachal Pradesh","Arunachal Pradesh","Arunachal Pradesh","Αρουνάτσαλ Πραντές","अरुणाचल प्रदेश","Arunácsal Prades","Arunachal Pradesh","Arunachal Pradesh","アルナーチャル・プラデーシュ州","아루나찰프라데시 주","Arunachal Pradesh","Arunachal Pradesh","Arunachal Pradesh","Аруначал-Прадеш","Arunachal Pradesh","Arunaçhal Pradesh","Arunachal Pradesh","阿鲁纳恰尔邦"
"Q1410","","33140","جبل طارق","জিব্রাল্টার","Gibraltar","Gibraltar","Gibraltar","Gibraltar","Γιβραλτάρ","जिब्राल्टर","Gibraltár","Gibraltar","Gibilterra","ジブラルタル","지브롤터","Gibraltar","Gibraltar","Gibraltar","Гибралтар","Gibraltar","Cebelitarık","Gibraltar","直布罗陀"
"Q5823","","84959","سبتة","সিউচা","Ceuta","Ceuta","Ceuta","Ceuta","Θέουτα","सेउटा","Ceuta","Ceuta","Ceuta","セウタ","세우타","Ceuta","Ceuta","Ceuta","Сеута","Ceuta","Ceuta","Ceuta","休达"
"Q5831","","86120","مليلية","মেলিলা","Melilla","Melilla","Melilla","Melilla","Μελίγια","मेलिला","Melilla","Melilla","Melilla","メリリャ","멜리야","Melilla","Melilla","Melilla","Мелилья","Melilla","Melilla","Melilla","梅利利亚"
"Q6250","","586000","الصحراء الغربية","পশ্চিম সাহারা","Westsahara","Western Sahara","Sahara Occidental","Sahara occidental","Δυτική Σαχάρα","पश्चिमी सहारा","Nyugat-Szahara","Sahara Barat","Sahara Occidentale","西サハラ","서사하라","Westelijke Sahara","Sahara Zachodnia","Saara Ocidental","Западная Сахара","Västsahara","Batı Sahra","Tây Sahara","西撒哈拉"
"Q7835","","2340921","القرم","ক্রিমিয়া","Krim","Crimean Peninsula","península de Crimea","Crimée","Κριμέα","क्रीमिया","Krím","Krimea","Crimea","クリミア半島","크림 반도","Krim","Krym","Crimeia","Крымский полуостров","Krim","Kırım Yarımadası","bán đảo Krym","克里米亚"
"Q9648","","4550","جزر فوكلاند","ফক্‌ল্যান্ড দ্বীপপুঞ্জ","Falklandinseln","Falkland Islands","Islas Malvinas","îles Malouines","Νήσοι Φώκλαντ","फ़ॉकलैंड द्वीपसमूह","Falkland-szigetek","Kepulauan Falkland","Isole Falkland","フォークランド諸島","포클랜드 제도","Falklandeilanden","Falklandy","Ilhas Malvinas","Фолклендские острова","Falklandsöarna","Falkland Adaları","Quần đảo Falkland","福克兰群岛"
"Q20317","","","صخور ليانكورت","লিয়ানকোর্ট রকস","Liancourt-Felsen","Liancourt Rocks","Rocas de Liancourt","Rochers Liancourt","Ντόκντο","","","Batu Liancourt","Rocce di Liancourt","竹島","독도","Rotsen van Liancourt","Dokdo","Rochedos de Liancourt","Лианкур","Liancourtöarna","Liancourt Kayalıkları","Đảo Liancourt","獨島"
"Q17063","","256518","مايوت","মায়োত","Mayotte","Mayotte","Mayotte","Mayotte","Μαγιότ","मेयोट","Mayotte","Mayotte","Mayotte","マヨット","마요트","Mayotte","Majotta","Mayotte","Майотта","Mayotte","Mayotte","Mayotte","马约特"
"Q23334","","242000","أبخازيا","আবখাজিয়া","Abchasien","Abkhazia","Abjasia","Abkhazie","Αμπχαζία","अबख़ाज़िया","Abházia","Abkhazia","Abcasia","アブハジア","압하지야","Abchazië","Abchazja","Abecásia","Абхазия","Abchazien","Abhazya","Abkhazia","阿布哈茲"
"Q23427","","53532","أوسيتيا الجنوبية","দক্ষিণ অসেটিয়া","Südossetien-Alanien","South Ossetia","Osetia del Sur","Ossétie du Sud-Alanie","Νότια Οσετία","दक्षिण ओसेतिया","Dél-Oszétia","Ossetia Selatan","Ossezia del Sud","南オセチア","남오세티야","Zuid-Ossetië","Osetia Południowa","Ossétia do Sul","Южная Осетия","Sydossetien","Güney Osetya","Nam Ossetia","南奥塞梯"
"Q23681","","313626","قبرص الشمالية","তুর্কী উত্তর সাইপ্রাস প্রজাতন্ত্র","Türkische Republik Nordzypern","Turkish Republic of Northern Cyprus","República Turca del Norte de Chipre","Chypre du Nord","Τουρκική Δημοκρατία της Βόρειας Κύπρου","उत्तरी साइप्रस","Észak-Ciprus","Republik Turki Siprus Utara","Cipro del Nord","北キプロス・トルコ共和国","북키프로스","Noord-Cyprus","Cypr Północny","República Turca de Chipre do Norte","Турецкая Республика Северного Кипра","Nordcypern","Kuzey Kıbrıs Türk Cumhuriyeti","Bắc Síp","北賽普勒斯土耳其共和國"
"Q25359","","0","جزيرة نافاسا","নাউসা দ্বীপ","Navassa","Navassa Island","Isla de Navaza","île de la Navasse","Νήσος Ναβάσσα","नावासा द्वीप","Navassa-sziget","Pulau Navassa","Isola Navassa","ナヴァッサ島","나배사 섬","Navassa","Navassa","Ilha de Navassa","Навасса","Navassaön","Navassa Adası","Đảo Navassa","納弗沙島"
"Q29460","","","جزر سينكاكو","সেনকাকু দ্বীপ","Senkaku-Inseln","Senkaku Islands","Islas Senkaku","îles Senkaku","","","Szenkaku-szigetek","Kepulauan Senkaku","isole Senkaku","尖閣諸島","센카쿠 열도","Senkaku-eilanden","Wyspy Senkaku","Ilhas Senkaku","Сенкаку","Senkaku-öarna","Senkaku Adaları","Senkaku","釣魚台列嶼"
"Q34754","","4500000","صوماليلاند","সোমালিল্যান্ড","Somaliland","Somaliland","Somalilandia","Somaliland","Σομαλιλάνδη","सोमालीदेश","Szomáliföld","Somaliland","Somaliland","ソマリランド","소말릴란드","Somaliland","Somaliland","Somalilândia","Сомалиленд","Somaliland","Somaliland","Somaliland","索马里兰"
"Q36678","","","الضفة الغربية","পশ্চিম তীর","Westjordanland","West Bank","Cisjordania","Cisjordanie","Δυτική Όχθη","पश्चिमी तट","Ciszjordánia","Tepi Barat","Cisgiordania","ヨルダン川西岸地区","요르단 강 서안 지구","Westelijke Jordaanoever","Zachodni Brzeg","Cisjordânia","Западный берег реки Иордан","Västbanken","Batı Şeria","Bờ Tây","約旦河西岸地區"
