"wd_id","status","variable","value_old","value_new"
"Q419","NEWvalue","NAME_AR","","بيرو"
"Q419","NEWvalue","NAME_BN","","পেরু"
"Q419","NEWvalue","NAME_DE","","Peru"
"Q419","NEWvalue","NAME_EN","","Peru"
"Q419","NEWvalue","NAME_ES","","Perú"
"Q419","NEWvalue","NAME_FR","","Pérou"
"Q419","NEWvalue","NAME_EL","","Περού"
"Q419","NEWvalue","NAME_HI","","पेरू"
"Q419","NEWvalue","NAME_HU","","Peru"
"Q419","NEWvalue","NAME_ID","","Peru"
"Q419","NEWvalue","NAME_IT","","Perù"
"Q419","NEWvalue","NAME_JA","","ペルー"
"Q419","NEWvalue","NAME_KO","","페루"
"Q419","NEWvalue","NAME_NL","","Peru"
"Q419","NEWvalue","NAME_PL","","Peru"
"Q419","NEWvalue","NAME_PT","","Peru"
"Q419","NEWvalue","NAME_RU","","Перу"
"Q419","NEWvalue","NAME_SV","","Peru"
"Q419","NEWvalue","NAME_TR","","Peru"
"Q419","NEWvalue","NAME_VI","","Peru"
"Q419","NEWvalue","NAME_ZH","","秘鲁"
"Q9206745","NEWvalue","NAME_HU","","Dekélia"
"Q39760","MODvalue","NAME_FR","Bande de Gaza","bande de Gaza"
"Q485112","NEWvalue","NAME_AR","","أرض البنط"
"Q485112","NEWvalue","NAME_DE","","Puntland"
"Q485112","NEWvalue","NAME_EN","","Puntland"
"Q485112","NEWvalue","NAME_ES","","Puntlandia"
"Q485112","NEWvalue","NAME_FR","","Pount"
"Q485112","NEWvalue","NAME_EL","","Πούντλαντ"
"Q485112","NEWvalue","NAME_HU","","Puntföld"
"Q485112","NEWvalue","NAME_ID","","Puntland"
"Q485112","NEWvalue","NAME_IT","","Puntland"
"Q485112","NEWvalue","NAME_JA","","プントランド"
"Q485112","NEWvalue","NAME_KO","","푼틀란드"
"Q485112","NEWvalue","NAME_NL","","Puntland"
"Q485112","NEWvalue","NAME_PL","","Puntland"
"Q485112","NEWvalue","NAME_PT","","Puntlândia"
"Q485112","NEWvalue","NAME_RU","","Пунтленд"
"Q485112","NEWvalue","NAME_SV","","Puntland"
"Q485112","NEWvalue","NAME_TR","","Puntland"
"Q485112","NEWvalue","NAME_VI","","Puntland"
"Q485112","NEWvalue","NAME_ZH","","邦特兰"
"Q1428532","NEWvalue","NAME_AR","","قوة الأمم المتحدة لمراقبة فض الاشتباك"
"Q1428532","NEWvalue","NAME_DE","","United Nations Disengagement Observer Force"
"Q1428532","NEWvalue","NAME_EN","","United Nations Disengagement Observer Force Zone"
"Q1428532","NEWvalue","NAME_ES","","Fuerza de las Naciones Unidas de Observación de la Separación"
"Q1428532","NEWvalue","NAME_FR","","Force des Nations unies chargée d’observer le dégagement"
"Q1428532","NEWvalue","NAME_IT","","UNDOF"
"Q1428532","NEWvalue","NAME_JA","","国際連合兵力引き離し監視軍"
"Q1428532","NEWvalue","NAME_NL","","UNDOF"
"Q1428532","NEWvalue","NAME_PL","","UNDOF"
"Q1428532","NEWvalue","NAME_PT","","UNDOF"
"Q1428532","NEWvalue","NAME_RU","","Зона Сил ООН по наблюдению за разъединением"
"Q1428532","NEWvalue","NAME_ZH","","聯合國脫離接觸觀察員部隊"
"Q331990","NEWvalue","NAME_AR","","منطقة كورية منزوعة السلاح"
"Q331990","NEWvalue","NAME_BN","","কোরীয় অসামরিকীকৃত অঞ্চল"
"Q331990","NEWvalue","NAME_DE","","Demilitarisierte Zone"
"Q331990","NEWvalue","NAME_EN","","Korean Demilitarized Zone"
"Q331990","NEWvalue","NAME_ES","","Zona desmilitarizada de Corea"
"Q331990","NEWvalue","NAME_FR","","Zone coréenne démilitarisée"
"Q331990","NEWvalue","NAME_HU","","Koreai demilitarizált övezet"
"Q331990","NEWvalue","NAME_ID","","Zona Demiliterisasi Korea"
"Q331990","NEWvalue","NAME_IT","","Zona demilitarizzata coreana"
"Q331990","NEWvalue","NAME_JA","","軍事境界線"
"Q331990","NEWvalue","NAME_KO","","한반도 비무장 지대"
"Q331990","NEWvalue","NAME_NL","","DMZ Korea"
"Q331990","NEWvalue","NAME_PL","","Koreańska Strefa Zdemilitaryzowana"
"Q331990","NEWvalue","NAME_PT","","Zona Desmilitarizada da Coreia"
"Q331990","NEWvalue","NAME_RU","","Демилитаризованная зона"
"Q331990","NEWvalue","NAME_SV","","Koreas demilitariserade zon"
"Q331990","NEWvalue","NAME_TR","","Kore Tarafsız Bölgesi"
"Q331990","NEWvalue","NAME_VI","","Khu phi quân sự Triều Tiên"
"Q331990","NEWvalue","NAME_ZH","","朝韩非军事区"
"Q331990","NEWvalue","NAME_AR","","منطقة كورية منزوعة السلاح"
"Q331990","NEWvalue","NAME_BN","","কোরীয় অসামরিকীকৃত অঞ্চল"
"Q331990","NEWvalue","NAME_DE","","Demilitarisierte Zone"
"Q331990","NEWvalue","NAME_EN","","Korean Demilitarized Zone"
"Q331990","NEWvalue","NAME_ES","","Zona desmilitarizada de Corea"
"Q331990","NEWvalue","NAME_FR","","Zone coréenne démilitarisée"
"Q331990","NEWvalue","NAME_HU","","Koreai demilitarizált övezet"
"Q331990","NEWvalue","NAME_ID","","Zona Demiliterisasi Korea"
