"wd_id","status","variable","value_old","value_new"
"Q419","NEWvalue","NAME_AR","","بيرو"
"Q419","NEWvalue","NAME_BN","","পেরু"
"Q419","NEWvalue","NAME_DE","","Peru"
"Q419","NEWvalue","NAME_EN","","Peru"
"Q419","NEWvalue","NAME_ES","","Perú"
"Q419","NEWvalue","NAME_FR","","Pérou"
"Q419","NEWvalue","NAME_EL","","Περού"
"Q419","NEWvalue","NAME_HI","","पेरू"
"Q419","NEWvalue","NAME_HU","","Peru"
"Q419","NEWvalue","NAME_ID","","Peru"
"Q419","NEWvalue","NAME_IT","","Perù"
"Q419","NEWvalue","NAME_JA","","ペルー"
"Q419","NEWvalue","NAME_KO","","페루"
"Q419","NEWvalue","NAME_NL","","Peru"
"Q419","NEWvalue","NAME_PL","","Peru"
"Q419","NEWvalue","NAME_PT","","Peru"
"Q419","NEWvalue","NAME_RU","","Перу"
"Q419","NEWvalue","NAME_SV","","Peru"
"Q419","NEWvalue","NAME_TR","","Peru"
"Q419","NEWvalue","NAME_VI","","Peru"
"Q419","NEWvalue","NAME_ZH","","秘鲁"
"Q145","NEWvalue","NAME_AR","","المملكة المتحدة"
"Q145","NEWvalue","NAME_BN","","যুক্তরাজ্য"
"Q145","NEWvalue","NAME_DE","","Vereinigtes Königreich"
"Q145","NEWvalue","NAME_EN","","United Kingdom"
"Q145","NEWvalue","NAME_ES","","Reino Unido"
"Q145","NEWvalue","NAME_FR","","Royaume-Uni"
"Q145","NEWvalue","NAME_EL","","Ηνωμένο Βασίλειο"
"Q145","NEWvalue","NAME_HI","","यूनाइटेड किंगडम"
"Q145","NEWvalue","NAME_HU","","Egyesült Királyság"
"Q145","NEWvalue","NAME_ID","","Britania Raya"
"Q145","NEWvalue","NAME_IT","","Regno Unito"
"Q145","NEWvalue","NAME_JA","","イギリス"
"Q145","NEWvalue","NAME_KO","","영국"
"Q145","NEWvalue","NAME_NL","","Verenigd Koninkrijk"
"Q145","NEWvalue","NAME_PL","","Wielka Brytania"
"Q145","NEWvalue","NAME_PT","","Reino Unido"
"Q145","NEWvalue","NAME_RU","","Великобритания"
"Q145","NEWvalue","NAME_SV","","Storbritannien"
"Q145","NEWvalue","NAME_TR","","Birleşik Krallık"
"Q145","NEWvalue","NAME_VI","","Vương quốc Liên hiệp Anh và Bắc Ireland"
"Q145","NEWvalue","NAME_ZH","","英国"
"Q184","MODvalue","NAME_RU","Республика Беларусь","Белоруссия"
"Q184","MODvalue","NAME_ZH","白俄罗斯","白罗斯"
"Q881","MODvalue","NAME_HU","Vietnam","Vietnám"
"Q31","NEWvalue","NAME_AR","","بلجيكا"
"Q31","NEWvalue","NAME_BN","","বেলজিয়াম"
"Q31","NEWvalue","NAME_DE","","Belgien"
"Q31","NEWvalue","NAME_EN","","Belgium"
"Q31","NEWvalue","NAME_ES","","Bélgica"
"Q31","NEWvalue","NAME_FR","","Belgique"
"Q31","NEWvalue","NAME_EL","","Βέλγιο"
"Q31","NEWvalue","NAME_HI","","बेल्जियम"
"Q31","NEWvalue","NAME_HU","","Belgium"
"Q31","NEWvalue","NAME_ID","","Belgia"
"Q31","NEWvalue","NAME_IT","","Belgio"
"Q31","NEWvalue","NAME_JA","","ベルギー"
"Q31","NEWvalue","NAME_KO","","벨기에"
"Q31","NEWvalue","NAME_NL","","België"
"Q31","NEWvalue","NAME_PL","","Belgia"
"Q31","NEWvalue","NAME_PT","","Bélgica"
"Q31","NEWvalue","NAME_RU","","Бельгия"
"Q31","NEWvalue","NAME_SV","","Belgien"
"Q31","NEWvalue","NAME_TR","","Belçika"
"Q31","NEWvalue","NAME_VI","","Bỉ"
"Q31","NEWvalue","NAME_ZH","","比利时"
"Q1246","MODvalue","NAME_EL","Κόσοβο","Κοσσυφοπέδιο"
"Q977","MODvalue","NAME_PT","Jibuti","Djibouti"
"Q986","MODvalue","NAME_AR","إريتريا","إرتريا"
"Q1050","MODvalue","NAME_ES","Suazilandia","eSwatini"
"Q1050","MODvalue","NAME_PT","Suazilândia","eSwatini"
"Q225","NEWvalue","NAME_AR","","البوسنة والهرسك"
"Q225","NEWvalue","NAME_BN","","বসনিয়া ও হার্জেগোভিনা"
"Q225","NEWvalue","NAME_DE","","Bosnien und Herzegowina"
"Q225","NEWvalue","NAME_EN","","Bosnia and Herzegovina"
"Q225","NEWvalue","NAME_ES","","Bosnia y Herzegovina"
"Q225","NEWvalue","NAME_FR","","Bosnie-Herzégovine"
"Q225","NEWvalue","NAME_EL","","Βοσνία και Ερζεγοβίνη"
"Q225","NEWvalue","NAME_HI","","बॉस्निया और हर्ज़ेगोविना"
"Q225","NEWvalue","NAME_HU","","Bosznia-Hercegovina"
"Q225","NEWvalue","NAME_ID","","Bosnia dan Herzegovina"
"Q225","NEWvalue","NAME_IT","","Bosnia ed Erzegovina"
"Q225","NEWvalue","NAME_JA","","ボスニア・ヘルツェゴビナ"
"Q225","NEWvalue","NAME_KO","","보스니아 헤르체고비나"
"Q225","NEWvalue","NAME_NL","","Bosnië en Herzegovina"
"Q225","NEWvalue","NAME_PL","","Bośnia i Hercegowina"
"Q225","NEWvalue","NAME_PT","","Bósnia e Herzegovina"
