"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q860639","","","بلدية أويكيوس","ওয়েকুস্যে পৌরসভা","Oecusse","Oecusse Municipality","Oecussi-Ambeno","Oecusse","Οεκούσσε","ओक्सेस नगर पालिका","","Oecussi-Ambeno","Okussi-Ambeno","オエクシ＝アンベノ","오에쿠시 현","Oecusse","Dystrykt Oecusse","Oecusse","Окуси-Амбено","Oecusse","Oecusse Belediyesi","Oecusse","歐庫西-安貝諾縣"
"Q860630","","","مقاطعة ماناتوتو","মানাতুতু জেলা","Manatuto","Manatuto District","Manatuto","Manatuto","Μανατούτο","मनातुतो  जिला","","Manatuto","distretto di Manatuto","マナトゥト県","마나투투 현","Manatuto","Dystrykt Manatuto","Manatuto","Манатуту","Manatutodistriktet","Manatuto District","Manatuto","馬納圖托縣"
"Q860901","","","بلدية ديلي","দিলি পৌরসভা","Gemeinde Dili","Dili municipality","Dili","Dili","Ντίλι","डिली नगरपालिका","","Díli","distretto di Dili","ディリ県","딜리 현","Dili","Dystrykt Dili","Díli","Дили","Dili","Dili","Dili","帝力縣"
"Q860897","","","مقاطعة ليكويتشيا","লিকুইকা পৌরসভা","Liquiçá","Liquiçá Municipality","Liquiçá","Liquiçá","Λικουικά","लिकीसा नगरपालिका","","Liquiçá","distretto di Liquiçá","リキシャ県","리키사 현","Liquiçá","Dystrykt Liquiçá","Liquiçá","Ликиса","Liquiçá","Liquaca Belediyesi","Liquiçá","利逵薩縣"
"Q880399","","545904","كاغوازو","কাগুয়াজু","Caaguazú","Caaguazú","Caaguazú","Caaguazú","Κααγουασού","कागुआजु","Caaguazú megye","Departemen Caaguazú","Caaguazú","カアグアスー県","카과수 주","Caaguazú","Caaguazú","Caaguazú","Каагуасу","Caaguazú","Caagazu","Caaguazú","卡瓜蘇省"
"Q860913","","","بلدية بوبونارو","বোবোনারো পৌরসভা","Bobonaro","Bobonaro Municipality","Bobonaro","Bobonaro","Μπομπονάρο","बोबोनारो नगर पालिका","","Bobonaro","distretto di Bobonaro","ボボナロ県","보보나루 현","Bobonaro","Dystrykt Bobonaro","Bobonaro","Бобонару","Bobonaro","Bobonaro Belediyesi","Bobonaro","博博納羅縣"
"Q465853","","","إقليم ماشونالاند الشرقية","ম্যাশনাল্যান্ড পূর্ব প্রদেশ","Provinz Mashonaland East","Mashonaland East Province","Mashonalandia Oriental","Mashonaland oriental","Ανατολική Μασοναλάνδη","माशोनालैंड पूर्व प्रांत","","Mashonaland Timur","provincia del Mashonaland Orientale","東マショナランド州","동마쇼날랜드 주","Mashonaland East","Maszona Wschodnia","Mashonaland Este","Восточный Машоналенд","Mashonaland East","Doğu Mashonaland","Tỉnh Mashonaland East","東馬紹納蘭省"
"Q498351","","","منطقة ماسفينغو","মাাভিঙ্গো প্রদেশ","Provinz Masvingo","Masvingo Province","Provincia de Masvingo","Province de Masvingo","Μασβίνγκο","मैसविंगो प्रांत","","Provinsi Masvingo","Provincia di Masvingo","マシンゴ州","마스빙고 주","Masvingo","Masvingo","Masvingo","Масвинго","Masvingo","Masvingo","Tỉnh Masvingo","馬斯溫戈省"
"Q498355","","","إقليم ماتابيليلاند الجنوبية","মাটাবেলেল্যান্ড দক্ষিন প্রদেশ","Provinz Matabeleland South","Matabeleland South Province","Matabelelandia Meridional","Matabeleland méridional","Νότια Ματαμπελελάνδη","माताबेलेलैंड दक्षिण प्रांत","","Matabeleland Selatan","provincia del Matabeleland Meridionale","南マタベレランド州","남마타벨랜드 주","Matabeleland South","Matabeleland Południowy","Matabeleland Sul","Южный Матабелеленд","Matabeleland South","Güney Matabeleland","Tỉnh Matabeleland South","南馬塔貝萊蘭省"
"Q960645","","","","","Port Louis","Port Louis District","Distrito de Port Louis","Port Louis","","","","","Distretto di Port Louis","ポートルイス県","포트루이스 구","Port Louis","Port Louis","Port Louis","Порт-Луи","Port Louis","Port Louis ilçesi","","路易港區"
