"wd_id","wd_id_new","population","name_ar","name_bn","name_de","name_en","name_es","name_fr","name_el","name_hi","name_hu","name_id","name_it","name_ja","name_ko","name_nl","name_pl","name_pt","name_ru","name_sv","name_tr","name_vi","name_zh"
"Q505572","","","كويمباتور المطار الدول","","Peelamedu International Airport","Coimbatore Airport","Aeropuerto de Coimbatore","aéroport international de Coimbatore","","कोयम्बतूर विमानक्षेत्र","","Bandar Udara Internasional Coimbatore","","コーヤンブットゥール空港","","","Port lotniczy Coimbatore","","Коимбатор международный аэропорт","Coimbatore International Airport","","Sân bay Coimbatore","哥印拜陀國際機場"
"Q528184","","","مطار تورينو","","Flughafen Turin","Turin Airport","Aeropuerto de Turín-Caselle","aéroport Sandro-Pertini de Turin Caselle","","","Torinói nemzetközi repülőtér","Bandar Udara Internasional Turin","Aeroporto di Torino-Caselle","トリノ空港","","Luchthaven Turijn Caselle","Port lotniczy Turyn","Aeroporto Internacional de Turim","","Turin-Caselle flygplats","","Sân bay quốc tế Torino-Caselle","都靈機場"
"Q501083","","","مطار جبل طارق","","Flughafen Gibraltar","Gibraltar International Airport","Aeropuerto de Gibraltar","aéroport de Gibraltar","","जिब्राल्टर अन्तराष्ट्रीय हवाई-अड्डा","Gibraltári repülőtér","Bandar Udara Gibraltar","Aeroporto di Gibilterra","ジブラルタル空港","지브롤터 공항","Gibraltar Airport","Port lotniczy Gibraltar","Aeroporto de Gibraltar","Гибралтар","Gibraltar International Airport","Cebelitarık Havalimanı","Sân bay quốc tế Gibraltar","直布羅陀機場"
"Q2667517","","","","","Kodiak Airport","Kodiak Airport","Aeropuerto de Kodiak","aéroport de Kodiak","","","","Bandar Udara Kodiak","","コディアック空港","","","Port lotniczy Kodiak","","Кадьяк","","","","科迪亞克機場"
"Q2633549","","","مطار تربت الدولي","","","Turbat International Airport","Aeropuerto Internacional de Turbat","","","","","Bandar Udara Internasional Turbat","","トゥルバット","","","Port lotniczy Turbat","","Турбат","","","","土爾巴特國際機場"
"Q2580525","","","","","","Santo-Pekoa International Airport","Aeropuerto Internacional de Santo-Pekoa","aéroport de Santo-Pekoa","","","","Bandar Udara Internasional Santo-Pekoa","","サントペコア国際空港","","Internationale Luchthaven Santo-Pekoa","Port lotniczy Santo-Pekoa","","Санто-Пекоа","","","","桑托佩可亞國際機場"
"Q2584014","","","مطار الحديدة الدولي","","","Hodeida International Airport","Aeropuerto Internacional de Hodeida","","","","","Bandar Udara Internasional Hodeida","","フダイダ国際空港","","","Port lotniczy Al-Hudajda","","","","","","荷台達國際機場"
"Q2699491","","","","","Hector International Airport","Hector International Airport","Aeropuerto Internacional Hector","aéroport international Hector","","","","","Aeroporto Internazionale Hector","ヘクター国際空港","","Hector International Airport","Port lotniczy Fargo-Hector","Aeroporto Internacional Hector","","","","","法戈"
"Q2674281","","","","","","Palonegro International Airport","Aeropuerto Internacional Palonegro","aéroport international Palonegro","","","","Bandar Udara Internasional Palonegro","","ブカラマンガ","","","Port lotniczy Palonegro","Aeroporto Internacional Palonegro","","Palonegro International Airport","","Sân bay quốc tế Palonegro","帕洛內格羅國際機場"
"Q2673010","","","","জয়প্রকাশ নারায়ণ আন্তর্জাতিক বিমানবন্দর","","Lok Nayak Jayaprakash Airport","","Aéroport de Patna","","जयप्रकाश नारायण हवाई अड्डा","","","","ロク・ナヤック・ジャヤプラカシュ空港","","","Port lotniczy Patna","","Международный аэропорт имени Джей Пракаш Нараян","Patna","","Sân bay Lok Nayak Jayaprakash","巴特那"
